author,chapter,line,text
Lodewijk van Velthem,[.I.],1,[.................]
Lodewijk van Velthem,[.I.],2,"[S]o dat si, al waest te spade,"
Lodewijk van Velthem,[.I.],3,[T]felt behelden van den stride.
Lodewijk van Velthem,[.I.],4,"[Die] grave van vlaendren in desen tide,"
Lodewijk van Velthem,[.I.],5,"[D]ie men karl hiet bi namen,"
Lodewijk van Velthem,[.I.],5,[O]m sine gerechtechede tsame
Lodewijk van Velthem,[.I.],7,[We]rd gehaet de goede man.
Lodewijk van Velthem,[.I.],8,[E]nde van sinen prenchen mest nochtan
Lodewijk van Velthem,[.I.],9,"..nde sente donaes, al daer hi lach"
Lodewijk van Velthem,[.I.],10,"[B]innen brugge, in midden den dach,"
Lodewijk van Velthem,[.I.],10,"[E]nde sine bedinge waende spreken,"
Lodewijk van Velthem,[.I.],12,[W]as hi daer doet gesteken.
Lodewijk van Velthem,[.I.],13,...p die diet daden quamen alle
Lodewijk van Velthem,[.I.],14,"[Daer]na in harden suaren mesvalle,"
Lodewijk van Velthem,[.I.],15,[W]ant si worden some gevaen
Lodewijk van Velthem,[.I.],15,"[Dat] si niet mochten ontgaen,"
Lodewijk van Velthem,[.I.],17,"[S]om gehangen, som geblent,"
Lodewijk van Velthem,[.I.],18,"[S]om metten suuerde gescent,"
Lodewijk van Velthem,[.I.],19,[S]om wordensi geleit op rat.
Lodewijk van Velthem,[.I.],20,[E]nde was er een niet tier stat
Lodewijk van Velthem,[.I.],20,"[D]ar gedaen ward die mort,"
Lodewijk van Velthem,[.I.],22,[H]ine ebbe quade doede becort.
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,23,[I]nt ander iaer gesciede daer naer
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,24,"Omtrent soison plage swaer,"
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,25,[W]ant daer metten helscen viere
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,25,[D]ie liede worden in meniger manire
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,27,"[O]ntsteken ende ontfinct mede,"
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,28,[D]ie men brochte al gereede
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,29,[Ter] moeder gods sente marien
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,30,"[T]ote soisoen met groeter partien,"
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,30,"[Daer] si lagen nit lange dagen,"
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,32,"[D]at si genasen van derre plagen,"
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,33,[D]atter binnen XV dagen
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,34,[C ende] drie getelt waren
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,35,"[D]ie der plagen siin ontfaren,"
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,35,Ende drie ionwrouen die waren verstorven
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,37,"[I]n hare lede, ende al verdorven."
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,38,"[H]uge seget, om dat die liede"
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,39,[D]ie daer woenden ende die gediede
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,40,[B]eide wijf kint ende man
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,40,"Niet en sterken die kerke dan,"
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,42,"No niet en erden onser vrouwen,"
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,43,[S]o quamen dese plagen in rouwen
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,44,[D]en gene diere woenden int lant.
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,45,Selc die wert daer oec thant
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,45,"So verbernt, dat lijf met allen"
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,47,"Tote an die bene moeste wallen,"
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,48,Dat si al verwelt sceen
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,49,Ende alsoe dorre alse een steen
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,50,Ende som die onsalegen daer af storven
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,50,Oec addensi som gerne verworven
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,52,"Die doet, adt hem gescien mogen,"
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,53,"Om de noet die si daer dogen,"
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,54,Want dat vier bernde so sere.
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,55,Noch dat oec te wonderne es mere:
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,55,"Dat vier wart oec van selker manire,"
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,57,Dat ic noit en horde van viere.
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,58,Nochtan dat dese verbarn alsoe
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,59,"Dat vleesch al tote den bene toe,"
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,60,"So adden sijt so cout nochtan,"
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,60,Datse niemen verwarmen en can.
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,62,Gelijc dat te wintre dat yjs
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,63,Coude gevet in alre wijs
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,64,Soe gaf dat vier coude dan.
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,65,Noch so was daer een wonder an:
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,65,"Alse dit coude was vergaen,"
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,67,"So quam so groet de hitte saen,"
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,68,Dat hem dochte sonder merren
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,69,Dat si al gader souden verbernen.
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,70,Ende hier af so wert daer int lant
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,70,Dat ongemac dat men canker nant
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,72,Overvloiende al daer omtrent.
Lodewijk van Velthem,[V]an onser vrouwen van syssoen ende ander dinc. II.,73,Daer wart an plagen dat lant gescent.
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,74,"Des .vi. dages van enen maent,"
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,75,"Na dat men de wareit waent,"
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,75,So ware so vele liede nu
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,77,"Vergadert te gadere, secgic u,"
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,78,In onser vrouwen kerke soison.
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,79,Het quam al daer wart gevloen
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,80,"Ende geloepen uut andren kerken,"
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,80,Om datse onse vrouwe soude gesterken.
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,82,"Van der mester kerken met hopen,"
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,83,"Quamense daer wart gelopen,"
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,84,Want onse vrouwe was selve dare
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,85,Met ere arde groter scare
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,85,Heleger sante ende ingle mede.
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,87,Dar vant si ter selver stede
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,88,"Dar si quam met haren gesellen,"
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,89,Die quade duvle van der hellen.
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,90,Ende overmids onser vrouwen cominge
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,90,So wart ginder so grote bevinge
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,92,"Ende anxt, ende clareit so groet,"
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,93,"Dat daer elkerlijc verscoet,"
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,94,Ende die kerke sceen met allen
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,95,Ofsi daer neder soude vallen.
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,95,Om dese vrese so vlouen daer
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,97,Alle die sieckeden vor waer.
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,98,Te dienne plagen ende ter stat
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,99,Ginc onse vrouwe na dat
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,100,Alle omme ende gansese die daer lagen
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,100,Van allen evele; van alre plagen
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,102,Worden si daer alle gesont.
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,103,Doen den andren dit wart cont
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,104,"Die daer buten geloepen waren,"
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,105,Quamen si weder sonder sparen
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,105,"Ende vonden dander al gesont,"
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,107,Die daer vertelden op die stont
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,108,Hoe hem dochte dat suetechede
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,109,Quam so groet met ere clareide
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,110,Dor die venstre van der kerke.
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,110,Alse een dau ute enen suuerke
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,112,"Viel dese soetecheit ons an,"
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,113,Ende heeft ons allen gesant dan.
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,114,Ja en sach nie man no wijf
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,115,"Hoe oversoete dit maecte onse lijf,"
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,115,Want al de pine te voren
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,117,"Adden, ebwi nu verloren."
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,118,Oec so sachmen sonder waen
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,119,"Sterren boven der kerken gaen,"
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,120,"Die so clare scenen dare,"
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,120,Dat men niene wart geware
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,122,Weder dat nacht was so dach.
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,123,Oec secgic dat men daer sach
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,124,"Bescouwen tote hem .C. wale,"
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,125,"Die daer genasen van alre quale,"
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,125,Ende oec si drie binnen der nacht
Lodewijk van Velthem,Hoe onse vrouwen haren pelegrimen in staden staet. III.,127,Worden van den viere gesacht.
Lodewijk van Velthem,Van den selven. IIII.,128,"Het was een wijf, alse wi weten,"
Lodewijk van Velthem,Van den selven. IIII.,129,"Die gondrade was geheten,"
Lodewijk van Velthem,Van den selven. IIII.,130,"Ende adde enen man, hiet diederijc."
Lodewijk van Velthem,Van den selven. IIII.,130,Over ene riviere des gelijc
Lodewijk van Velthem,Van den selven. IIII.,132,"Woenden si, die hiet die oese."
Lodewijk van Velthem,Van den selven. IIII.,133,Bi sisoen wel grote noise
Lodewijk van Velthem,Van den selven. IIII.,134,"Adde dit wijf, ende so was met"
Lodewijk van Velthem,Van den selven. IIII.,135,Metten quaden viere besmet
Lodewijk van Velthem,Van den selven. IIII.,135,"So utenemende ende so sere,"
Lodewijk van Velthem,Van den selven. IIII.,137,Dat hare bevinc no min no mere
Lodewijk van Velthem,Van den selven. IIII.,138,"Tusscen nese ende mont,"
Lodewijk van Velthem,Van den selven. IIII.,139,So dat tfleesch ter selver stont
Lodewijk van Velthem,Van den selven. IIII.,140,Al toten tanden afvel
Lodewijk van Velthem,Van den selven. IIII.,140,Ende dat tantfleesch also wel.
Lodewijk van Velthem,Van den selven. IIII.,142,Al toten achtersten tanden daer
Lodewijk van Velthem,Van den selven. IIII.,143,"Viel die kinbacke af daer naer,"
Lodewijk van Velthem,Van den selven. IIII.,144,So dat si tanesiene was lelike
Lodewijk van Velthem,Van den selven. IIII.,145,Ende utermate hatelike
Lodewijk van Velthem,Van den selven. IIII.,145,Ende swaer hem allen diese sagen.
Lodewijk van Velthem,Van den selven. IIII.,147,Dese was in de kerke gedragen
Lodewijk van Velthem,Van den selven. IIII.,148,"Tote sissoen tonser vrouwen,"
Lodewijk van Velthem,Van den selven. IIII.,149,Daer si op riep na goeden trauwen.
Lodewijk van Velthem,Van den selven. IIII.,150,Si adde met enen douke gedect
Lodewijk van Velthem,Van den selven. IIII.,150,"Hare anscijn ende soe berecht,"
Lodewijk van Velthem,Van den selven. IIII.,152,Om dat si niet hen wilde daer
Lodewijk van Velthem,Van den selven. IIII.,153,Dat men iegeren sage daer naer.
Lodewijk van Velthem,Van den selven. IIII.,154,"Si adde ene kerse gemaect scoene,"
Lodewijk van Velthem,Van den selven. IIII.,155,Die si onser vrouwen te loene
Lodewijk van Velthem,Van den selven. IIII.,155,"Offerde daer, ende doe ginc"
Lodewijk van Velthem,Van den selven. IIII.,157,Een lettel slapen na die dinc.
Lodewijk van Velthem,Van den selven. IIII.,158,Ende daer na in der selver nachte
Lodewijk van Velthem,Van den selven. IIII.,159,"Droemde hare utermaten sachte,"
Lodewijk van Velthem,Van den selven. IIII.,160,"Ende gevoelde dat hare cleet,"
Lodewijk van Velthem,Van den selven. IIII.,160,"Dat si op daensichte adde gespre[et],"
Lodewijk van Velthem,Van den selven. IIII.,162,"Van der stede was gegaen,"
Lodewijk van Velthem,Van den selven. IIII.,163,Ende begonde der na te tasten saen.
Lodewijk van Velthem,Van den selven. IIII.,164,"Ende alsi also taste ter stat,"
Lodewijk van Velthem,Van den selven. IIII.,165,Gevoelde si an hare selve dat
Lodewijk van Velthem,Van den selven. IIII.,165,"Ware hare de mont besan genesen,"
Lodewijk van Velthem,Van den selven. IIII.,167,Ende sine dorste niet geloven desen.
Lodewijk van Velthem,Van den selven. IIII.,168,"Hier na si so bedrongen wart,"
Lodewijk van Velthem,Van den selven. IIII.,169,"Dat si moeste roupen ongespard,"
Lodewijk van Velthem,Van den selven. IIII.,170,"Ende weende, ende om ulpe bat."
Lodewijk van Velthem,Van den selven. IIII.,170,"Mer die daer lagen van slape mat,"
Lodewijk van Velthem,Van den selven. IIII.,172,"Of bedwongen van coude groet,"
Lodewijk van Velthem,Van den selven. IIII.,173,Eer si op quamen thaere noet
Lodewijk van Velthem,Van den selven. IIII.,174,"Ende ene kerse conden onsteken,"
Lodewijk van Velthem,Van den selven. IIII.,175,So heef geent wijf noch gestek[en]
Lodewijk van Velthem,Van den selven. IIII.,175,"Haren vinger an haren mont,"
Lodewijk van Velthem,Van den selven. IIII.,177,"Ende den douc gegeven ter stont,"
Lodewijk van Velthem,Van den selven. IIII.,178,"Ende si gevoelde tfleesch al daer,"
Lodewijk van Velthem,Van den selven. IIII.,179,Mer sine wiste niet over waer
Lodewijk van Velthem,Van den selven. IIII.,180,Hoe die dinge waren gescepen.
Lodewijk van Velthem,Van den selven. IIII.,180,Daer na heeft si noch gegrepen
Lodewijk van Velthem,Van den selven. IIII.,182,"Den douc, ende noch op gedaen,"
Lodewijk van Velthem,Van den selven. IIII.,183,Ende doe wart si geware saen
Lodewijk van Velthem,Van den selven. IIII.,184,Dar hare naturlic vlesch was
Lodewijk van Velthem,Van den selven. IIII.,185,"Hare angewassen, ende na das"
Lodewijk van Velthem,Van den selven. IIII.,185,Riep si drienwerf gode an
Lodewijk van Velthem,Van den selven. IIII.,187,Ende onser vrouwe mede dan.
Lodewijk van Velthem,Van den selven. IIII.,188,Ende in dat roupen worden vervard
Lodewijk van Velthem,Van den selven. IIII.,189,"Die daer lagen, ende stonden ter vard"
Lodewijk van Velthem,Van den selven. IIII.,190,"Op, ende onstaken licht,"
Lodewijk van Velthem,Van den selven. IIII.,190,Ende sagen ware haer ansichte slicht
Lodewijk van Velthem,Van den selven. IIII.,192,"Ende scone was geformert ende claer,"
Lodewijk van Velthem,Van den selven. IIII.,193,Ende nieue vlesch gewassen daer.
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,194,"Een kind van .XI. iaren was,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,195,"Dat quic hoede, ende na das"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,195,Metten elscen viere onstac
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,197,An sine voete; om desen lac
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,198,Ward van sire moeder geuord
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,199,"Tonser vrouwen, dart berord"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,200,"Scire wert, ende oec genesen."
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,200,Ende die moeder thant na desen
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,202,Voer thuuswert weder saen.
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,203,"Doe die moeder adde gedaen,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,204,"Bepensde hem tkint, ende seide:"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,205,"""Moeder, gi adt wel clene beide"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,205,"Voer onser vrouwen na mijn genesen,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,207,Gi[ne] voert mi gereet na desen
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,208,"Wech, dat was quaet gedaen."
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,209,"Ic duchte, gine vort mi weder saen,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,210,"Dat ic onfunken sal godweet."""
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,210,Aldus lach dat tkint ende street
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,212,"Jegen de moeder, dies doen woude niet."
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,213,"Ten lesten, alse tkint dit siet"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,214,Ter moeder twint doe dit sprac:
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,215,"""Nu geve onse vrouwe, dat ongemac"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,215,"Mi weder an come ende tferdriet."""
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,217,"Ende dit es tants aldaer gesciet,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,218,Doe dat ment weder vorde dar.
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,219,Ende doe men processie ginc daer nar
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,220,"In onser vrouwen kerke, so wart"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,220,Dit kint op gevort ter vart
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,222,Met ere groter bliscepe.
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,223,Tote inder ingle geselscepe.
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,224,"Daer na alst weder them selven quam,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,225,Vertelde dit kint al dat vernam.
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,225,"Het seide, het was nu ter stede"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,227,Vor onsen here ende oec mede
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,228,Saecht wel dat onse vrouwe
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,229,Bat na arde groter trouwe
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,230,"Onsen here vor al dese saken,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,230,Daer dese liede omme tongemake
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,232,"Siin, dat hijs ontfarme mede,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,233,Dat dus dit vier quelt haer lede.
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,234,Doe hordi weder dese gelike
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,235,"Dat onse here antworde: ""waerdelike"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,235,"Moeder, gi sijt die leetsterre,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,237,Diet al beleet wide ende verre.
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,238,"Dijn wille gesciede vorwaert mere."""
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,239,Doen beclaegede haere onse vrouwe sere
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,240,Dat hare kerke lelic ware
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,240,"Ende onwaert ende verstoeten sware,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,242,Meer dan ander kerken siin.
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,243,"Doe sprac onse here: ""moeder mijn,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,244,Ic sal doen comen van ouer zee
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,245,"Ende van ouer riin ende elre mee,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,245,"Die giften sullen bringe te lone,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,247,"U kerke met te makene scone,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,248,So dat si behageliic sal wesen
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,249,"Hem allen diese sien met desen."""
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,250,Ende weet oec dat onse here sprac:
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,250,"""Moeder, doe ic dat ongemac"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,252,"Late gescien omtrent sassoen,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,253,Dat es om dat si niet en doen
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,254,"Uer kerken, dat si met rechte"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,255,Doen souden; dit es de plechte.
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,255,"Daer omme dat si gegheselt sijn."""
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,257,"Daer na seide dat kindekin,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,258,Dat selue onlange leuen soude.
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,259,"Ende dat gesciede arde oude,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,260,Want hen leefde niet .I. maent.
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,260,Dit kint heeft oec al vermaent
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,262,Distorien van der werelt beginne
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,263,Ende de evangelien oec daer inne
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,264,"Ende al dat onse here ouerleet,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,265,"Dat seit daer al so gereet,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,265,"Oft vor hem adde staen gescreuen,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,267,"Ende al te male ioseps leuen,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,268,"Die men hiet onser vrouwen man,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,269,"Vertraect daer, ende wert oec an"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,270,"Hoe hi die bloiende roede droch,"
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,270,Daer omme hi oec al genouch
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,272,Marien was te deele gevallen
Lodewijk van Velthem,Van eenen kinde eene miracle dat ontsteken was. V.,273,Ende hare hoedere was bouen hem allen.
