author,chapter,line,text
Jacob van Maerlant,1.,1,"Wat mochte Maria segghen daer,"
Jacob van Maerlant,1.,2,Daer soe sach met herten swaer
Jacob van Maerlant,1.,3,Haren sone hanghen?
Jacob van Maerlant,1.,4,"Donker wart die middach claer,"
Jacob van Maerlant,1.,5,Want nature hadde vaer;
Jacob van Maerlant,1.,6,Die sonne es verganghen.
Jacob van Maerlant,1.,7,"Wel mochtsoe driven groot mesbaer,"
Jacob van Maerlant,1.,8,Stille int herte ende openbaer;
Jacob van Maerlant,1.,9,Om sterven mocht haer langhen.
Jacob van Maerlant,1.,10,"Dus mochtsoe claghen overwaer,"
Jacob van Maerlant,1.,11,"Wringhen hande ende sliten haer,"
Jacob van Maerlant,1.,12,Ende met naten wanghen
Jacob van Maerlant,1.,13,Dese wort dus anevanghen:
Jacob van Maerlant,2.,14,"""Cruce, dijns beclaghic mi:"
Jacob van Maerlant,2.,15,Twi eist dat ic vinde an di
Jacob van Maerlant,2.,16,"Die vrucht, die mi toehoorde?"
Jacob van Maerlant,2.,17,"Die vrucht, die ic droech maghet vri,"
Jacob van Maerlant,2.,18,"Wats dat soe Adame sculdich si,"
Jacob van Maerlant,2.,19,Dien de viant verdoorde?
Jacob van Maerlant,2.,20,"Mijns reinen lichamen vrucht, o wi!"
Jacob van Maerlant,2.,21,Ne soude an di niet hanghen bedi
Jacob van Maerlant,2.,22,Wantene noit sonde becoorde.
Jacob van Maerlant,2.,23,Es dit recht? te waren ni!
Jacob van Maerlant,2.,24,In welken so verbuerde hi
Jacob van Maerlant,2.,25,Dies met enen woorde?
Jacob van Maerlant,2.,26,Heus niemen diet oit hoorde.
Jacob van Maerlant,3.,27,Twi hanghet die niet hevet mesdaen?
Jacob van Maerlant,3.,28,Hoe dorstu den goeden vaen?
Jacob van Maerlant,3.,29,Doe den quaden pine!
Jacob van Maerlant,3.,30,"Die nie en rovede sie ic vlaen,"
Jacob van Maerlant,3.,31,Den onsculdighen an di slaen
Jacob van Maerlant,3.,32,Ende hanghen onder die dine.
Jacob van Maerlant,3.,33,"Die tleven ghevet moet hier haen,"
Jacob van Maerlant,3.,34,"Ende dies niet verdiende een traen,"
Jacob van Maerlant,3.,35,Drinct van dinen venine.
Jacob van Maerlant,3.,36,"Wanen quam di die stoute waen,"
Jacob van Maerlant,3.,37,"Dattu dorres vor hem ghestaen,"
Jacob van Maerlant,3.,38,Die van enen risekine
Jacob van Maerlant,3.,39,Di coos dus vrouwe te sine?
Jacob van Maerlant,4.,40,"Di ordineerde die rechte wet,"
Jacob van Maerlant,4.,41,"Dattu hem best torment gheset,"
Jacob van Maerlant,4.,42,Die mesdadich wert vonden.
Jacob van Maerlant,4.,43,"Twi houtstu hem ghevaen int net,"
Jacob van Maerlant,4.,44,Die alre mesdaet es onbesmet?
Jacob van Maerlant,4.,45,Dits doghet verwerret met sonden.
Jacob van Maerlant,4.,46,"Mi dinke dat men weldoen verghet,"
Jacob van Maerlant,4.,47,Men loont hem wers die dienet bet
Jacob van Maerlant,4.,48,Dits onrecht tallen stonden.
Jacob van Maerlant,4.,49,"Danc es ontseit, elcsins belet:"
Jacob van Maerlant,4.,50,"Die an di hanghet, es onbesmet"
Jacob van Maerlant,4.,51,"Van mesdaet ende ontvonden,"
Jacob van Maerlant,4.,52,Al hanghet hi tusschen tween honden.
Jacob van Maerlant,5.,53,"Mordenaren die roof bestaen,"
Jacob van Maerlant,5.,54,"Die liede wonden ende slaen,"
Jacob van Maerlant,5.,55,Bestu gheset te wraken.
Jacob van Maerlant,5.,56,"Den rechten, met dogheden bevaen,"
Jacob van Maerlant,5.,57,"Verchiert met helicheit ende dorgaen,"
Jacob van Maerlant,5.,58,Dien soude al ere ghenaken.
Jacob van Maerlant,5.,59,"Hieromme dinket mi mesdaen,"
Jacob van Maerlant,5.,60,"Dattu hem die men niet dar dwaen,"
Jacob van Maerlant,5.,61,Dus onwert dorres maken.
Jacob van Maerlant,5.,62,Twi moet dat leven doot ontfaen?
Jacob van Maerlant,5.,63,Dit dinct mi wesen sonder waen
Jacob van Maerlant,5.,64,Ongehoorde saken
Jacob van Maerlant,5.,65,"In alrehande spraken."""
Jacob van Maerlant,6.,66,Dat Cruce der Maghet dus antwoort:
Jacob van Maerlant,6.,67,"""In hebbe, Vrouwe, eren niet een oort,"
Jacob van Maerlant,6.,68,Hens mi al van u comen.
Jacob van Maerlant,6.,69,"Die vrucht, Vrouwe, die u toehoort,"
Jacob van Maerlant,6.,70,"Die mine telghe verchiert, begoort"
Jacob van Maerlant,6.,71,"Met sonderlinghen blomen,"
Jacob van Maerlant,6.,72,"Lië ic dat ghi brocht, maghet, voort."
Jacob van Maerlant,6.,73,"Nu es soe gheseilt an mijn boort,"
Jacob van Maerlant,6.,74,Soe keert noch u te vromen.
Jacob van Maerlant,6.,75,"Al draghedi rouwe om dese moort,"
Jacob van Maerlant,6.,76,"Al oost, al west, al suut, al noort"
Jacob van Maerlant,6.,77,"Sal hem noch dies beromen,"
Jacob van Maerlant,6.,78,Dat Jhesus hem liet domen.
Jacob van Maerlant,7.,79,"Ic draghe, Vrouwe, an minen mast"
Jacob van Maerlant,7.,80,"Die soete vrucht, dien soeten last."
Jacob van Maerlant,7.,81,Niet tuwen boef allene
Jacob van Maerlant,7.,82,"Ne wart hi mensche, dese gast:"
Jacob van Maerlant,7.,83,"Dor u en dede hijs niet een bast,"
Jacob van Maerlant,7.,84,Maer dor die werelt ghemene.
Jacob van Maerlant,7.,85,"Hier omme heefti in u gherast,"
Jacob van Maerlant,7.,86,Ende dorwaden ende dorpast
Jacob van Maerlant,7.,87,Dit leven vul van wene.
Jacob van Maerlant,7.,88,"Hi wille die werelt in dogheden wast,"
Jacob van Maerlant,7.,89,Ende elc si in merkene vast
Jacob van Maerlant,7.,90,Sin leven oomoedich ende rene
Jacob van Maerlant,7.,91,Ende micke up weelde clene.
Jacob van Maerlant,8.,92,Ic liës: hine verbuerde niet
Jacob van Maerlant,8.,93,"Doot, passie no verdriet."
Jacob van Maerlant,8.,94,Waest of hi sterven woude:
Jacob van Maerlant,8.,95,Want sijn sterven der doot verbiet
Jacob van Maerlant,8.,96,"Die macht, daer soe bi verriet"
Jacob van Maerlant,8.,97,Alle jonghe ende oude.
Jacob van Maerlant,8.,98,"An thout was her Adame messchiet,"
Jacob van Maerlant,8.,99,"An mijn hout hire om sijn leven liet,"
Jacob van Maerlant,8.,100,Alse een kempe boude.
Jacob van Maerlant,8.,101,"Hi gaut den roof, alsemen wel siet,"
Jacob van Maerlant,8.,102,Daer hi an niet alse vele alse iet
Jacob van Maerlant,8.,103,"Mesdaet hadde of scoude,"
Jacob van Maerlant,8.,104,Ende al dor smenschen houde.
Jacob van Maerlant,9.,105,"Deerste Adaem gaf ons den val,"
Jacob van Maerlant,9.,106,Dander Adaem versoenet al:
Jacob van Maerlant,9.,107,Hi gaf ons tlanghe leven.
Jacob van Maerlant,9.,108,"Die doot viel in den helschen wal,"
Jacob van Maerlant,9.,109,Daerse emmermeer in wesen sal;
Jacob van Maerlant,9.,110,"Daers Lucifer in bleven,"
Jacob van Maerlant,9.,111,"Die ons maecte al tghescal,"
Jacob van Maerlant,9.,112,Want hi Adame ende die werelt al
Jacob van Maerlant,9.,113,Brochte in dat sneven.
Jacob van Maerlant,9.,114,"Hier omme quam Christus in dit dal,"
Jacob van Maerlant,9.,115,Ende rovede den viant ende stal
Jacob van Maerlant,9.,116,"Den roof, dien hi ghedreven"
Jacob van Maerlant,9.,117,Hadde int langhe beven.
Jacob van Maerlant,10.,118,"Die stake die den wijngaert hout,"
Jacob van Maerlant,10.,119,"Dies liïc ende dies ben ic bout,"
Jacob van Maerlant,10.,120,Ne wan niet die rosine.
Jacob van Maerlant,10.,121,Wies mach die druve heeschen scout
Jacob van Maerlant,10.,122,Van mesdaden up dat hout?
Jacob van Maerlant,10.,123,Hennes gheen recht anschine.
Jacob van Maerlant,10.,124,"In bem van roeme niet so stout,"
Jacob van Maerlant,10.,125,Dat ic mi trac an die ghewout
Jacob van Maerlant,10.,126,Uwes kints moeder tsine;
Jacob van Maerlant,10.,127,"Maer doemen mi boot sulc sout,"
Jacob van Maerlant,10.,128,"Daer niet dooch jeghen selver no gout,"
Jacob van Maerlant,10.,129,"An mi ghecruust te pine,"
Jacob van Maerlant,10.,130,Outfinghic die vracht dine.
Jacob van Maerlant,11.,131,"Alsic dinen sone ontfinc,"
Jacob van Maerlant,11.,132,Waest ene stervelike dinc
Jacob van Maerlant,11.,133,Naer menschelike nature.
Jacob van Maerlant,11.,134,"Nu en screye no hant ne wrinc,"
Jacob van Maerlant,11.,135,Maer dinen groten rouwe dwinc:
Jacob van Maerlant,11.,136,Hi keert in cortre ure
Jacob van Maerlant,11.,137,Onstervelike: dan lach ende sinc!
Jacob van Maerlant,11.,138,"Hi versoent noch menighen ballinc,"
Jacob van Maerlant,11.,139,"Alst vorsprac die Scrifture,"
Jacob van Maerlant,11.,140,"Die Lucifer, die lose, vinc."
Jacob van Maerlant,11.,141,Hi roert noch an der hellen rinc;
Jacob van Maerlant,11.,142,"Hi breect die helsche mure,"
Jacob van Maerlant,11.,143,Die porten entie dure.
Jacob van Maerlant,12.,144,"Du best die wijngaert, die druve dijn kint:"
Jacob van Maerlant,12.,145,Wat es orbaerliker twint
Jacob van Maerlant,12.,146,"Dan tpersoor te wine,"
Jacob van Maerlant,12.,147,Daer men den wijn met utewint
Jacob van Maerlant,12.,148,"Ende so perst ende so bint,"
Jacob van Maerlant,12.,149,"Dat hi te beter schine,"
Jacob van Maerlant,12.,150,Ende menne meer te drinkene mint?
Jacob van Maerlant,12.,151,Wat es datmen soeter vint
Jacob van Maerlant,12.,152,"Dan gheperste beerkine,"
Jacob van Maerlant,12.,153,Alser dat soete sap uut rint?
Jacob van Maerlant,12.,154,"Ic bem tpersoor, dats bekint:"
Jacob van Maerlant,12.,155,"Wats soeter dan tkint dine,"
Jacob van Maerlant,12.,156,Gheperset in der pine?
Jacob van Maerlant,13.,157,In dijns kints doot es tleven al.
Jacob van Maerlant,13.,158,Nu maken ypocriten ghescal
Jacob van Maerlant,13.,159,Ende veinsen hem vul rouwen;
